GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstore,com.nhnacademy.bookstore.orderset.orderstate.controller,OrderStateController,37,0,0,0,8,0,4,0,4,0
bookstore,com.nhnacademy.bookstore.shipment.dto.response,ShipmentPolicyResponseDto,0,27,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.shipment.dto.response,ShipmentResponseDto,0,27,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.shipment.dto.response,ShippingFeeResponseDto,0,12,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.shipment.dto.response,CarrierResponseDto,0,18,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.paymentset.paymentmethod.converter,PaymentMethodTypeConverter,0,42,0,8,0,8,0,7,0,3
bookstore,com.nhnacademy.bookstore.cart.entity,Cart,3,21,0,0,1,6,1,1,1,1
bookstore,com.nhnacademy.bookstore.cart.entity,CartId,3,9,0,0,1,4,1,1,1,1
bookstore,com.nhnacademy.bookstore.bookset.contributor.mapper,ContributorMapperImpl,87,0,10,0,32,0,9,0,4,0
bookstore,com.nhnacademy.bookstore.bookset.contributor.mapper,ContributorRoleMapperImpl,25,0,2,0,9,0,3,0,2,0
bookstore,com.nhnacademy.bookstore.user.member.dto.response,MemberUpdateResponseDto,0,21,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.user.member.dto.response,MemberWithdrawResponseDto,0,15,0,0,0,3,0,2,0,2
bookstore,com.nhnacademy.bookstore.user.member.dto.response,MemberCreateSuccessResponseDto,0,9,0,0,0,4,0,1,0,1
bookstore,com.nhnacademy.bookstore.user.member.dto.response,MemberPointResponse,0,6,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.user.member.dto.response,GetAllMembersResponse,0,73,0,0,0,15,0,2,0,2
bookstore,com.nhnacademy.bookstore.admin.wrap.service,WrapServiceImpl,5,252,4,10,0,57,5,9,1,6
bookstore,com.nhnacademy.bookstore.user.tier.controller,TierController,0,9,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.publisher.entity,Publisher,0,10,0,0,0,5,0,2,0,2
bookstore,com.nhnacademy.bookstore.user.tier.dto.response,MemberTierResponse,0,15,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.user.member.mapper,MemberAddressMapperImpl,3,0,0,0,1,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.common.error.exception.wrap,WrapNotFoundException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.exception.wrap,WrapAlreadyExistException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.exception.wrap,WrapImageNotFoundException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.coupon.entity,Coupon,0,21,0,0,0,6,0,1,0,1
bookstore,com.nhnacademy.bookstore.coupon.entity,CouponPolicy,0,64,0,0,0,28,0,10,0,10
bookstore,com.nhnacademy.bookstore.orderset.order.dto,OrderListResponseDto,0,42,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.orderset.order.dto,OrderStateRequestDto,0,9,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.paymentset.paymentmethod.enums,PaymentMethodType,0,23,0,0,0,3,0,1,0,1
